Keyword,Division
mx_sku_01,MX
mx_sku_02,MX
mx_sku_03,MX
mx_sku_04,MX
mx_sku_05,MX
mx_sku_06,MX
mx_sku_07,MX
mx_sku_08,MX
mx_sku_09,MX
mx_sku_10,MX
mx_sku_11,MX
mx_sku_12,MX
mx_sku_13,MX
mx_sku_14,MX
mx_sku_15,MX
mx_sku_16,MX
mx_sku_17,MX
mx_sku_18,MX
mx_brand_01,MX
celular,MX
chromebook,MX
mx_sku_19,MX
mx_brand_02,MX
mx_brand_03,MX
mx_brand_04,MX
mx_brand_04,MX
mx_brand_05,MX
mx_brand_06,MX
mx_brand_07,MX
mx_brand_08,MX
mx_brand_09,MX
laptop,MX
mx_sku_20,MX
mx_sku_21,MX
mobiel,MX
mobil,MX
moviles,MX
nettbrett,MX
notebook,MX
phone,MX
mx_sku_22,MX
mx_sku_23,MX
mx_sku_24,MX
mx_sku_25,MX
mx_sku_26,MX
mx_sku_27,MX
mx_sku_28,MX
mx_sku_29,MX
mx_brand_10,MX
mx_brand_11,MX
mx_brand_12,MX
mx_brand_13,MX
smart ring,MX
smartphone,MX
smarttelefon,MX
tab,MX
tablet,MX
tablette,MX
telefon,MX
telephone,MX
mx_brand_14,MX
watch,MX
wearable,MX
audio,VD
display,VD
fhd,VD
vd_brand_01,VD
vd_brand_02,VD
micro led,VD
monitor,VD
monitore,VD
vd_brand_03,VD
oled,VD
vd_brand_04,VD
projector,VD
qled,VD
vd_sku_01,VD
vd_brand_05,VD
vd_brand_06,VD
signage,VD
sound bar,VD
sound tower,VD
soundbar,VD
speaker,VD
televi,VD
vd_brand_07,VD
theater,VD
tv,VD
uhd,VD
vd_sku_02,VD
air care,DA
air cleaner,DA
air condi,DA
da_brand_01,DA
aircon,DA
appliance,DA
appllience,DA
da_brand_02,DA
bubble,DA
built in,DA
da_brand_03,DA
cooking,DA
cooktop,DA
dry,DA
da_brand_04,DA
electric range,DA
da_brand_05,DA
french door,DA
fridge,DA
hood,DA
induction,DA
da_brand_06,DA
kimchi,DA
kitchen,DA
laundry,DA
microwave,DA
mwo,DA
oven,DA
da_brand_07,DA
da_brand_08,DA
purifier,DA
ranges,DA
refrigerat,DA
side by side,DA
sidebyside,DA
da_brand_09,DA
da_brand_10,DA
da_brand_11,DA
vacuum,DA
wash,DA
da_brand_12,DA
